




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (3272)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (expected)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (over/under)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (fold Enrichment)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (raw P-value)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (FDR)
cell-cell adhesion (GO:0098609)	515	133	81.82	+	1.63	1.35E-06	5.39E-05
reproductive system development (GO:0061458)	419	108	66.57	+	1.62	1.60E-05	4.87E-04
cell differentiation (GO:0030154)	3575	921	567.97	+	1.62	1.01E-44	2.29E-41
regulation of cell junction assembly (GO:1901888)	202	52	32.09	+	1.62	3.15E-03	4.61E-02
regulation of synapse organization (GO:0050807)	210	54	33.36	+	1.62	2.16E-03	3.46E-02
response to alcohol (GO:0097305)	253	65	40.19	+	1.62	9.58E-04	1.78E-02
regulation of multicellular organismal development (GO:2000026)	1332	342	211.62	+	1.62	3.99E-15	7.78E-13
positive regulation of cell development (GO:0010720)	300	77	47.66	+	1.62	2.75E-04	6.03E-03
response to drug (GO:0042493)	394	101	62.60	+	1.61	3.84E-05	1.08E-03
regulation of metal ion transport (GO:0010959)	262	67	41.62	+	1.61	8.74E-04	1.65E-02
cellular developmental process (GO:0048869)	3634	929	577.35	+	1.61	6.28E-44	1.24E-40
metal ion homeostasis (GO:0055065)	626	160	99.45	+	1.61	2.04E-07	1.04E-05
regulation of protein kinase B signaling (GO:0051896)	235	60	37.34	+	1.61	1.54E-03	2.66E-02
locomotion (GO:0040011)	1345	343	213.68	+	1.61	7.07E-15	1.33E-12
cellular response to inorganic substance (GO:0071241)	228	58	36.22	+	1.60	2.33E-03	3.65E-02
regulation of epithelial cell migration (GO:0010632)	229	58	36.38	+	1.59	2.38E-03	3.70E-02
cellular metal ion homeostasis (GO:0006875)	561	142	89.13	+	1.59	1.51E-06	5.91E-05
system process (GO:0003008)	2057	520	326.80	+	1.59	5.88E-22	2.44E-19
regulation of cellular component movement (GO:0051270)	1032	260	163.96	+	1.59	5.48E-11	5.70E-09
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	65	40.99	+	1.59	1.41E-03	2.47E-02
gland development (GO:0048732)	414	104	65.77	+	1.58	5.71E-05	1.52E-03
regulation of MAPK cascade (GO:0043408)	707	177	112.32	+	1.58	1.46E-07	7.67E-06
cell migration (GO:0016477)	968	242	153.79	+	1.57	5.45E-10	4.49E-08
regulation of locomotion (GO:0040012)	997	249	158.40	+	1.57	3.19E-10	2.72E-08
ion homeostasis (GO:0050801)	773	193	122.81	+	1.57	4.50E-08	2.58E-06
regulation of cell migration (GO:0030334)	892	222	141.72	+	1.57	4.33E-09	3.03E-07
multicellular organism development (GO:0007275)	4941	1228	784.99	+	1.56	8.17E-57	4.30E-53
positive regulation of developmental process (GO:0051094)	1271	315	201.93	+	1.56	2.21E-12	2.86E-10
regulation of multicellular organismal process (GO:0051239)	2673	662	424.67	+	1.56	1.98E-26	1.12E-23
negative regulation of multicellular organismal process (GO:0051241)	1014	251	161.10	+	1.56	5.59E-10	4.58E-08
regulation of small GTPase mediated signal transduction (GO:0051056)	348	86	55.29	+	1.56	4.03E-04	8.47E-03
positive regulation of multicellular organismal process (GO:0051240)	1431	353	227.35	+	1.55	1.34E-13	2.19E-11
positive regulation of locomotion (GO:0040017)	560	138	88.97	+	1.55	7.19E-06	2.41E-04
regulation of cell motility (GO:2000145)	954	235	151.57	+	1.55	3.44E-09	2.46E-07
sex differentiation (GO:0007548)	272	67	43.21	+	1.55	1.84E-03	3.06E-02
regulation of transport (GO:0051049)	1772	433	281.52	+	1.54	5.69E-16	1.22E-13
regulation of actin filament-based process (GO:0032970)	397	97	63.07	+	1.54	2.07E-04	4.77E-03
response to lipid (GO:0033993)	831	203	132.02	+	1.54	7.25E-08	4.05E-06
positive regulation of cell population proliferation (GO:0008284)	939	229	149.18	+	1.54	9.74E-09	6.28E-07
cation homeostasis (GO:0055080)	710	173	112.80	+	1.53	7.37E-07	3.10E-05
regulation of cell differentiation (GO:0045595)	1586	386	251.97	+	1.53	4.33E-14	7.61E-12
inorganic ion homeostasis (GO:0098771)	724	176	115.02	+	1.53	7.09E-07	3.01E-05
chordate embryonic development (GO:0043009)	613	149	97.39	+	1.53	5.04E-06	1.75E-04
anatomical structure development (GO:0048856)	5330	1294	846.80	+	1.53	6.70E-56	2.65E-52
localization of cell (GO:0051674)	1109	269	176.19	+	1.53	7.38E-10	5.95E-08
cell motility (GO:0048870)	1109	269	176.19	+	1.53	7.38E-10	5.92E-08
positive regulation of cell motility (GO:2000147)	545	132	86.59	+	1.52	2.53E-05	7.30E-04
transmembrane transport (GO:0055085)	1276	309	202.72	+	1.52	4.02E-11	4.35E-09
embryo development ending in birth or egg hatching (GO:0009792)	633	153	100.57	+	1.52	5.32E-06	1.83E-04
cellular response to organic cyclic compound (GO:0071407)	511	123	81.18	+	1.52	5.15E-05	1.39E-03
positive regulation of cellular component movement (GO:0051272)	558	134	88.65	+	1.51	3.09E-05	8.79E-04
movement of cell or subcellular component (GO:0006928)	1596	383	253.56	+	1.51	2.98E-13	4.70E-11
cellular cation homeostasis (GO:0030003)	642	154	102.00	+	1.51	7.73E-06	2.57E-04
cellular ion homeostasis (GO:0006873)	659	158	104.70	+	1.51	6.17E-06	2.10E-04
chemical homeostasis (GO:0048878)	1139	273	180.96	+	1.51	1.48E-09	1.13E-07
regulation of growth (GO:0040008)	661	158	105.02	+	1.50	6.37E-06	2.16E-04
negative regulation of cellular component movement (GO:0051271)	293	70	46.55	+	1.50	2.67E-03	4.06E-02
regulation of localization (GO:0032879)	2753	657	437.38	+	1.50	1.42E-22	6.62E-20
response to organic cyclic compound (GO:0014070)	900	214	142.99	+	1.50	1.64E-07	8.52E-06
regulation of developmental process (GO:0050793)	2461	585	390.99	+	1.50	1.29E-19	4.76E-17
negative regulation of inflammatory response (GO:0050728)	320	76	50.84	+	1.49	2.42E-03	3.75E-02
positive regulation of cell adhesion (GO:0045785)	438	104	69.59	+	1.49	3.08E-04	6.68E-03
cellular response to lipid (GO:0071396)	481	114	76.42	+	1.49	1.75E-04	4.14E-03
regulation of anatomical structure morphogenesis (GO:0022603)	967	229	153.63	+	1.49	8.02E-08	4.43E-06
negative regulation of locomotion (GO:0040013)	317	75	50.36	+	1.49	2.36E-03	3.68E-02
positive regulation of cell migration (GO:0030335)	520	123	82.61	+	1.49	1.18E-04	2.91E-03
supramolecular fiber organization (GO:0097435)	601	142	95.48	+	1.49	3.58E-05	1.01E-03
cellular chemical homeostasis (GO:0055082)	762	180	121.06	+	1.49	2.56E-06	9.55E-05
developmental growth (GO:0048589)	358	84	56.88	+	1.48	1.64E-03	2.77E-02
positive regulation of transport (GO:0051050)	947	222	150.45	+	1.48	2.46E-07	1.21E-05
enzyme linked receptor protein signaling pathway (GO:0007167)	723	169	114.87	+	1.47	9.41E-06	3.05E-04
developmental process (GO:0032502)	5797	1355	920.99	+	1.47	6.13E-51	1.94E-47
cellular response to growth factor stimulus (GO:0071363)	497	116	78.96	+	1.47	2.72E-04	5.98E-03
regulation of cell population proliferation (GO:0042127)	1654	386	262.78	+	1.47	7.07E-12	8.27E-10
growth (GO:0040007)	361	84	57.35	+	1.46	2.14E-03	3.44E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	282	192.55	+	1.46	1.01E-08	6.41E-07
negative regulation of response to external stimulus (GO:0032102)	559	130	88.81	+	1.46	1.27E-04	3.08E-03
regulation of cell adhesion (GO:0030155)	731	170	116.14	+	1.46	1.05E-05	3.36E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	121	82.93	+	1.46	2.42E-04	5.42E-03
plasma membrane bounded cell projection organization (GO:0120036)	1175	272	186.68	+	1.46	2.46E-08	1.49E-06
nervous system process (GO:0050877)	1416	327	224.96	+	1.45	1.09E-09	8.43E-08
negative regulation of cell population proliferation (GO:0008285)	703	162	111.69	+	1.45	2.77E-05	7.98E-04
regulation of neuron projection development (GO:0010975)	447	103	71.02	+	1.45	8.62E-04	1.63E-02
response to growth factor (GO:0070848)	526	121	83.57	+	1.45	3.16E-04	6.84E-03
multicellular organismal process (GO:0032501)	6926	1587	1100.36	+	1.44	3.73E-59	2.95E-55
response to endogenous stimulus (GO:0009719)	1426	325	226.55	+	1.43	3.66E-09	2.58E-07
positive regulation of cell communication (GO:0010647)	1755	398	278.82	+	1.43	8.57E-11	8.21E-09
response to wounding (GO:0009611)	543	123	86.27	+	1.43	4.78E-04	9.86E-03
actin filament-based process (GO:0030029)	605	137	96.12	+	1.43	2.21E-04	5.03E-03
cell projection organization (GO:0030030)	1221	276	193.98	+	1.42	1.22E-07	6.45E-06
response to inorganic substance (GO:0010035)	553	125	87.86	+	1.42	5.29E-04	1.08E-02
positive regulation of signaling (GO:0023056)	1761	398	279.78	+	1.42	1.14E-10	1.05E-08
regulation of inflammatory response (GO:0050727)	518	117	82.30	+	1.42	8.29E-04	1.58E-02
cellular response to endogenous stimulus (GO:0071495)	1152	259	183.02	+	1.42	4.67E-07	2.11E-05
regulation of body fluid levels (GO:0050878)	494	111	78.48	+	1.41	1.19E-03	2.16E-02
response to hormone (GO:0009725)	819	184	130.12	+	1.41	2.85E-05	8.17E-04
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	94	66.73	+	1.41	3.44E-03	4.97E-02
actin cytoskeleton organization (GO:0030036)	531	118	84.36	+	1.40	1.17E-03	2.12E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1305	286	207.33	+	1.38	7.35E-07	3.10E-05
positive regulation of intracellular signal transduction (GO:1902533)	1040	227	165.23	+	1.37	1.49E-05	4.59E-04
positive regulation of kinase activity (GO:0033674)	614	134	97.55	+	1.37	9.71E-04	1.80E-02
regulation of signaling (GO:0023051)	3545	770	563.21	+	1.37	2.24E-17	6.45E-15
response to oxygen-containing compound (GO:1901700)	1604	348	254.83	+	1.37	9.61E-08	5.24E-06
cellular response to organonitrogen compound (GO:0071417)	604	131	95.96	+	1.37	1.54E-03	2.66E-02
cellular homeostasis (GO:0019725)	895	194	142.19	+	1.36	1.02E-04	2.54E-03
homeostatic process (GO:0042592)	1680	364	266.91	+	1.36	4.82E-08	2.74E-06
regulation of cell communication (GO:0010646)	3509	756	557.49	+	1.36	2.97E-16	7.02E-14
positive regulation of phosphorus metabolic process (GO:0010562)	998	215	158.56	+	1.36	5.46E-05	1.46E-03
positive regulation of phosphate metabolic process (GO:0045937)	998	215	158.56	+	1.36	5.46E-05	1.46E-03
regulation of biological quality (GO:0065008)	3995	858	634.70	+	1.35	1.86E-18	5.87E-16
positive regulation of signal transduction (GO:0009967)	1584	338	251.66	+	1.34	6.07E-07	2.63E-05
cellular response to oxygen-containing compound (GO:1901701)	1075	229	170.79	+	1.34	5.73E-05	1.52E-03
regulation of response to external stimulus (GO:0032101)	1199	255	190.49	+	1.34	2.09E-05	6.29E-04
positive regulation of phosphorylation (GO:0042327)	921	195	146.32	+	1.33	2.98E-04	6.48E-03
cellular response to nitrogen compound (GO:1901699)	664	140	105.49	+	1.33	2.46E-03	3.79E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	133	100.25	+	1.33	3.25E-03	4.74E-02
response to organonitrogen compound (GO:0010243)	1014	213	161.10	+	1.32	2.06E-04	4.76E-03
positive regulation of protein phosphorylation (GO:0001934)	838	174	133.14	+	1.31	1.47E-03	2.55E-02
developmental process involved in reproduction (GO:0003006)	974	202	154.74	+	1.31	5.82E-04	1.16E-02
sensory perception (GO:0007600)	979	202	155.54	+	1.30	7.03E-04	1.38E-02
regulation of signal transduction (GO:0009966)	3128	644	496.96	+	1.30	1.75E-10	1.53E-08
positive regulation of molecular function (GO:0044093)	1618	330	257.06	+	1.28	2.68E-05	7.73E-04
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	332	258.65	+	1.28	2.43E-05	7.10E-04
positive regulation of transcription, DNA-templated (GO:0045893)	1628	332	258.65	+	1.28	2.43E-05	7.08E-04
positive regulation of RNA biosynthetic process (GO:1902680)	1629	332	258.80	+	1.28	2.45E-05	7.12E-04
cell surface receptor signaling pathway (GO:0007166)	2495	508	396.39	+	1.28	1.08E-07	5.82E-06
signaling (GO:0023052)	5565	1132	884.13	+	1.28	1.47E-18	4.73E-16
response to nitrogen compound (GO:1901698)	1101	223	174.92	+	1.27	8.60E-04	1.63E-02
reproductive process (GO:0022414)	1459	294	231.80	+	1.27	1.51E-04	3.62E-03
cell communication (GO:0007154)	5656	1138	898.59	+	1.27	2.67E-17	7.53E-15
reproduction (GO:0000003)	1462	294	232.27	+	1.27	1.76E-04	4.15E-03
negative regulation of cell death (GO:0060548)	1008	201	160.14	+	1.26	3.05E-03	4.50E-02
negative regulation of signaling (GO:0023057)	1405	280	223.22	+	1.25	4.18E-04	8.76E-03
negative regulation of cell communication (GO:0010648)	1401	279	222.58	+	1.25	4.69E-04	9.71E-03
response to external stimulus (GO:0009605)	2525	500	401.16	+	1.25	2.27E-06	8.64E-05
cellular response to organic substance (GO:0071310)	2344	464	372.40	+	1.25	6.71E-06	2.27E-04
cellular response to chemical stimulus (GO:0070887)	2914	576	462.96	+	1.24	3.56E-07	1.66E-05
positive regulation of gene expression (GO:0010628)	1169	230	185.72	+	1.24	2.65E-03	4.04E-02
negative regulation of response to stimulus (GO:0048585)	1831	356	290.90	+	1.22	3.30E-04	7.09E-03
regulation of response to stimulus (GO:0048583)	4306	837	684.11	+	1.22	2.97E-09	2.18E-07
response to organic substance (GO:0010033)	3008	583	477.89	+	1.22	2.75E-06	1.02E-04
positive regulation of RNA metabolic process (GO:0051254)	1773	342	281.68	+	1.21	7.26E-04	1.41E-02
regulation of intracellular signal transduction (GO:1902531)	1839	353	292.17	+	1.21	7.85E-04	1.52E-02
regulation of cell death (GO:0010941)	1668	318	265.00	+	1.20	2.16E-03	3.46E-02
positive regulation of cellular biosynthetic process (GO:0031328)	1969	374	312.82	+	1.20	1.00E-03	1.85E-02
positive regulation of response to stimulus (GO:0048584)	2312	439	367.32	+	1.20	3.60E-04	7.63E-03
signal transduction (GO:0007165)	5227	992	830.43	+	1.19	3.64E-09	2.58E-07
positive regulation of biosynthetic process (GO:0009891)	2004	379	318.38	+	1.19	1.22E-03	2.20E-02
response to chemical (GO:0042221)	4381	826	696.02	+	1.19	4.69E-07	2.11E-05
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	349	295.98	+	1.18	3.48E-03	5.00E-02
regulation of molecular function (GO:0065009)	3118	580	495.37	+	1.17	1.80E-04	4.24E-03
positive regulation of biological process (GO:0048518)	6331	1177	1005.83	+	1.17	3.19E-09	2.31E-07
positive regulation of cellular process (GO:0048522)	5741	1064	912.09	+	1.17	6.60E-08	3.70E-06
regulation of transcription by RNA polymerase II (GO:0006357)	2595	475	412.28	+	1.15	2.63E-03	4.02E-02
positive regulation of metabolic process (GO:0009893)	3820	698	606.90	+	1.15	1.95E-04	4.56E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3522	638	559.55	+	1.14	8.86E-04	1.67E-02
cellular response to stimulus (GO:0051716)	6807	1227	1081.45	+	1.13	7.03E-07	2.99E-05
response to stimulus (GO:0050896)	8540	1536	1356.78	+	1.13	4.33E-09	3.02E-07
positive regulation of cellular metabolic process (GO:0031325)	3314	595	526.51	+	1.13	2.93E-03	4.38E-02
localization (GO:0051179)	5831	1045	926.39	+	1.13	2.45E-05	7.13E-04
negative regulation of biological process (GO:0048519)	5501	974	873.96	+	1.11	2.95E-04	6.42E-03
negative regulation of cellular process (GO:0048523)	4902	861	778.80	+	1.11	1.93E-03	3.16E-02
regulation of cellular process (GO:0050794)	11351	1993	1803.37	+	1.11	4.96E-10	4.15E-08
regulation of biological process (GO:0050789)	11898	2084	1890.28	+	1.10	1.51E-10	1.34E-08
biological regulation (GO:0065007)	12568	2192	1996.72	+	1.10	4.97E-11	5.24E-09
cellular process (GO:0009987)	15495	2568	2461.75	+	1.04	4.93E-05	1.34E-03
biological_process (GO:0008150)	17851	2901	2836.05	+	1.02	1.59E-03	2.70E-02
Unclassified (UNCLASSIFIED)	2744	371	435.95	-	.85	1.59E-03	2.71E-02
cellular localization (GO:0051641)	2985	393	474.24	-	.83	1.25E-04	3.06E-03
macromolecule localization (GO:0033036)	2496	323	396.55	-	.81	1.88E-04	4.39E-03
organonitrogen compound metabolic process (GO:1901564)	5246	674	833.45	-	.81	1.17E-09	9.01E-08
protein localization (GO:0008104)	2063	264	327.76	-	.81	4.25E-04	8.89E-03
immune response (GO:0006955)	2075	263	329.66	-	.80	2.11E-04	4.83E-03
proteolysis (GO:0006508)	1306	164	207.49	-	.79	2.91E-03	4.37E-02
nitrogen compound transport (GO:0071705)	1708	214	271.36	-	.79	5.37E-04	1.09E-02
cellular protein localization (GO:0034613)	1470	184	233.54	-	.79	1.26E-03	2.26E-02
cellular component assembly (GO:0022607)	2494	311	396.23	-	.78	1.15E-05	3.65E-04
cellular macromolecule localization (GO:0070727)	1480	184	235.13	-	.78	9.95E-04	1.84E-02
establishment of localization in cell (GO:0051649)	2335	286	370.97	-	.77	7.13E-06	2.39E-04
metabolic process (GO:0008152)	8313	1017	1320.72	-	.77	1.57E-24	8.02E-22
protein metabolic process (GO:0019538)	4203	511	667.75	-	.77	6.49E-11	6.50E-09
organic substance metabolic process (GO:0071704)	7840	940	1245.57	-	.75	1.59E-25	8.36E-23
microtubule-based process (GO:0007017)	806	94	128.05	-	.73	3.02E-03	4.49E-02
catabolic process (GO:0009056)	2096	244	333.00	-	.73	6.49E-07	2.79E-05
primary metabolic process (GO:0044238)	7352	852	1168.04	-	.73	3.66E-28	2.41E-25
organelle assembly (GO:0070925)	796	92	126.46	-	.73	2.81E-03	4.26E-02
cellular component biogenesis (GO:0044085)	2754	316	437.54	-	.72	1.41E-09	1.08E-07
nitrogen compound metabolic process (GO:0006807)	6886	783	1094.00	-	.72	2.17E-28	1.56E-25
negative regulation of gene expression (GO:0010629)	999	113	158.71	-	.71	2.94E-04	6.41E-03
cellular metabolic process (GO:0044237)	7542	851	1198.22	-	.71	2.23E-33	2.35E-30
regulation of cell cycle (GO:0051726)	1164	130	184.93	-	.70	5.38E-05	1.44E-03
organonitrogen compound biosynthetic process (GO:1901566)	1379	154	219.09	-	.70	9.74E-06	3.15E-04
biosynthetic process (GO:0009058)	2865	318	455.17	-	.70	1.31E-11	1.48E-09
macromolecule metabolic process (GO:0043170)	6151	678	977.23	-	.69	2.86E-28	1.97E-25
cellular protein modification process (GO:0006464)	2985	328	474.24	-	.69	1.32E-12	1.80E-10
protein modification process (GO:0036211)	2985	328	474.24	-	.69	1.32E-12	1.78E-10
positive regulation of immune response (GO:0050778)	747	82	118.68	-	.69	8.23E-04	1.58E-02
organonitrogen compound catabolic process (GO:1901565)	1091	119	173.33	-	.69	3.68E-05	1.03E-03
cellular biosynthetic process (GO:0044249)	2715	296	431.34	-	.69	7.60E-12	8.77E-10
organelle organization (GO:0006996)	3567	387	566.70	-	.68	4.69E-16	1.06E-13
establishment of protein localization (GO:0045184)	1397	151	221.95	-	.68	1.40E-06	5.54E-05
organic substance biosynthetic process (GO:1901576)	2803	302	445.32	-	.68	7.15E-13	1.03E-10
microtubule cytoskeleton organization (GO:0000226)	567	61	90.08	-	.68	2.66E-03	4.05E-02
regulation of mitotic cell cycle (GO:0007346)	588	63	93.42	-	.67	1.79E-03	2.99E-02
organic substance catabolic process (GO:1901575)	1769	188	281.05	-	.67	1.15E-08	7.19E-07
macromolecule modification (GO:0043412)	3211	339	510.14	-	.66	4.94E-16	1.07E-13
organic cyclic compound biosynthetic process (GO:1901362)	1196	126	190.01	-	.66	2.58E-06	9.63E-05
organelle localization (GO:0051640)	609	64	96.75	-	.66	9.54E-04	1.77E-02
cellular response to stress (GO:0033554)	1741	181	276.60	-	.65	3.04E-09	2.23E-07
protein transport (GO:0015031)	1300	135	206.54	-	.65	3.79E-07	1.75E-05
nucleobase-containing small molecule metabolic process (GO:0055086)	515	53	81.82	-	.65	1.60E-03	2.72E-02
cellular protein metabolic process (GO:0044267)	3590	369	570.36	-	.65	6.45E-20	2.43E-17
cellular catabolic process (GO:0044248)	1812	185	287.88	-	.64	3.57E-10	3.03E-08
cellular macromolecule metabolic process (GO:0044260)	4909	500	779.91	-	.64	2.12E-29	1.60E-26
nucleic acid-templated transcription (GO:0097659)	531	53	84.36	-	.63	6.32E-04	1.25E-02
RNA biosynthetic process (GO:0032774)	543	54	86.27	-	.63	5.70E-04	1.14E-02
negative regulation of cell cycle (GO:0045786)	454	45	72.13	-	.62	1.55E-03	2.66E-02
aromatic compound biosynthetic process (GO:0019438)	1060	105	168.41	-	.62	5.96E-07	2.59E-05
protein-containing complex assembly (GO:0065003)	1358	134	215.75	-	.62	9.92E-09	6.35E-07
transcription, DNA-templated (GO:0006351)	530	52	84.20	-	.62	4.85E-04	9.96E-03
detection of stimulus involved in sensory perception (GO:0050906)	557	54	88.49	-	.61	2.15E-04	4.91E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	975	94	154.90	-	.61	5.23E-07	2.30E-05
activation of immune response (GO:0002253)	530	51	84.20	-	.61	3.00E-04	6.52E-03
regulation of intracellular transport (GO:0032386)	364	35	57.83	-	.61	3.21E-03	4.69E-02
regulation of catabolic process (GO:0009894)	1066	102	169.36	-	.60	1.18E-07	6.26E-06
regulation of protein catabolic process (GO:0042176)	398	38	63.23	-	.60	1.53E-03	2.63E-02
positive regulation of catabolic process (GO:0009896)	519	49	82.46	-	.59	2.03E-04	4.72E-03
heterocycle biosynthetic process (GO:0018130)	1049	98	166.66	-	.59	4.35E-08	2.50E-06
positive regulation of cellular catabolic process (GO:0031331)	450	42	71.49	-	.59	4.34E-04	9.06E-03
protein-containing complex subunit organization (GO:0043933)	1605	149	254.99	-	.58	3.62E-12	4.62E-10
regulation of cellular catabolic process (GO:0031329)	899	83	142.83	-	.58	2.80E-07	1.36E-05
regulation of cell cycle process (GO:0010564)	792	72	125.83	-	.57	9.22E-07	3.80E-05
autophagy (GO:0006914)	309	28	49.09	-	.57	3.03E-03	4.49E-02
process utilizing autophagic mechanism (GO:0061919)	309	28	49.09	-	.57	3.03E-03	4.49E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	41	72.29	-	.57	2.08E-04	4.79E-03
immune response-activating signal transduction (GO:0002757)	455	41	72.29	-	.57	2.08E-04	4.78E-03
vesicle organization (GO:0016050)	313	28	49.73	-	.56	1.94E-03	3.17E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	44	78.17	-	.56	9.95E-05	2.50E-03
immune response-regulating signaling pathway (GO:0002764)	495	44	78.64	-	.56	7.98E-05	2.05E-03
regulation of protein stability (GO:0031647)	306	27	48.62	-	.56	2.19E-03	3.48E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	136	246.73	-	.55	9.65E-14	1.61E-11
generation of precursor metabolites and energy (GO:0006091)	403	35	64.03	-	.55	2.50E-04	5.58E-03
organic cyclic compound metabolic process (GO:1901360)	3182	273	505.54	-	.54	5.49E-30	4.57E-27
intracellular transport (GO:0046907)	1464	124	232.59	-	.53	5.62E-14	9.55E-12
intracellular protein transport (GO:0006886)	781	66	124.08	-	.53	6.09E-08	3.42E-06
methylation (GO:0032259)	313	26	49.73	-	.52	6.05E-04	1.21E-02
macromolecule biosynthetic process (GO:0009059)	1680	138	266.91	-	.52	3.75E-17	1.04E-14
organic cyclic compound catabolic process (GO:1901361)	466	38	74.04	-	.51	1.88E-05	5.69E-04
regulation of cellular amide metabolic process (GO:0034248)	479	39	76.10	-	.51	1.35E-05	4.21E-04
macromolecule catabolic process (GO:0009057)	1058	86	168.09	-	.51	3.00E-11	3.29E-09
protein-containing complex localization (GO:0031503)	259	21	41.15	-	.51	1.57E-03	2.67E-02
regulation of DNA metabolic process (GO:0051052)	372	30	59.10	-	.51	9.97E-05	2.50E-03
Golgi vesicle transport (GO:0048193)	398	32	63.23	-	.51	5.15E-05	1.39E-03
cell division (GO:0051301)	498	40	79.12	-	.51	5.98E-06	2.04E-04
antigen processing and presentation (GO:0019882)	225	18	35.75	-	.50	2.63E-03	4.02E-02
cellular nitrogen compound metabolic process (GO:0034641)	3395	269	539.38	-	.50	1.43E-38	1.74E-35
sensory perception of chemical stimulus (GO:0007606)	543	43	86.27	-	.50	1.36E-06	5.41E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	21	42.74	-	.49	7.53E-04	1.46E-02
cellular aromatic compound metabolic process (GO:0006725)	2937	229	466.61	-	.49	3.92E-34	4.43E-31
protein ubiquitination (GO:0016567)	746	58	118.52	-	.49	5.69E-09	3.86E-07
ATP metabolic process (GO:0046034)	206	16	32.73	-	.49	3.14E-03	4.61E-02
lymphocyte mediated immunity (GO:0002449)	259	20	41.15	-	.49	8.19E-04	1.58E-02
cellular amide metabolic process (GO:0043603)	820	63	130.28	-	.48	5.01E-10	4.16E-08
cellular macromolecule biosynthetic process (GO:0034645)	1639	125	260.39	-	.48	1.41E-19	5.05E-17
regulation of response to DNA damage stimulus (GO:2001020)	223	17	35.43	-	.48	1.75E-03	2.92E-02
regulation of chromatin organization (GO:1902275)	211	16	33.52	-	.48	2.48E-03	3.81E-02
Fc receptor signaling pathway (GO:0038093)	238	18	37.81	-	.48	9.62E-04	1.78E-02
regulation of cell cycle phase transition (GO:1901987)	522	39	82.93	-	.47	4.20E-07	1.93E-05
cell cycle (GO:0007049)	1316	98	209.08	-	.47	1.86E-16	4.66E-14
regulation of cellular protein catabolic process (GO:1903362)	256	19	40.67	-	.47	5.36E-04	1.09E-02
protein modification by small protein conjugation (GO:0032446)	822	61	130.59	-	.47	1.30E-10	1.18E-08
regulation of mitotic cell cycle phase transition (GO:1901990)	434	32	68.95	-	.46	3.29E-06	1.18E-04
covalent chromatin modification (GO:0016569)	367	27	58.31	-	.46	2.24E-05	6.64E-04
protein catabolic process (GO:0030163)	697	51	110.73	-	.46	2.17E-09	1.63E-07
aromatic compound catabolic process (GO:0019439)	438	32	69.59	-	.46	2.55E-06	9.54E-05
adaptive immune response (GO:0002250)	658	48	104.54	-	.46	5.92E-09	3.98E-07
heterocycle metabolic process (GO:0046483)	2891	209	459.30	-	.46	7.19E-39	9.47E-36
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	16	35.27	-	.45	8.62E-04	1.63E-02
histone modification (GO:0016570)	363	26	57.67	-	.45	1.42E-05	4.41E-04
cellular nitrogen compound catabolic process (GO:0044270)	423	30	67.20	-	.45	2.29E-06	8.65E-05
negative regulation of cell cycle process (GO:0010948)	368	26	58.47	-	.44	8.35E-06	2.73E-04
protein localization to organelle (GO:0033365)	742	52	117.88	-	.44	1.10E-10	1.02E-08
antigen processing and presentation of exogenous antigen (GO:0019884)	186	13	29.55	-	.44	1.80E-03	3.00E-02
DNA packaging (GO:0006323)	202	14	32.09	-	.44	9.83E-04	1.82E-02
gene expression (GO:0010467)	2117	145	336.34	-	.43	8.61E-31	7.56E-28
response to topologically incorrect protein (GO:0035966)	191	13	30.34	-	.43	1.40E-03	2.46E-02
